0, 0, 0, 1.00009E-14, 6.855E-14, 2.00805E-16, -7.8753E-14
0.05, 0, 0, -3.40579E-09, 6.0078E-12, 3.39987E-09, -7.89577E-14
0.1, 0, 0, -1.73218E-08, 6.58184E-12, 1.73153E-08, -7.98181E-14
0.15, 0, 0, -7.02228E-08, 5.09183E-12, 7.02178E-08, -8.29545E-14
0.2, 0, 0, -2.50817E-07, 2.56834E-11, 2.50791E-07, -9.28875E-14
0.25, 0, 0, -7.79304E-07, 9.92833E-11, 7.79205E-07, -1.20039E-13
0.3, 0, 0, -2.00854E-06, 2.56375E-10, 2.00828E-06, -1.86733E-13
0.35, 0, 0, -4.18246E-06, 5.02216E-10, 4.18196E-06, -3.40929E-13
0.4, 0, 0, -7.2304E-06, 8.3957E-10, 7.22956E-06, -6.85139E-13
0.45, 0, 0, -1.09019E-05, 1.27814E-09, 1.09007E-05, -1.43754E-12
0.5, 0, 0, -1.49637E-05, 1.83111E-09, 1.49618E-05, -3.0607E-12
0.55, 0, 0, -1.92589E-05, 2.51401E-09, 1.92564E-05, -6.53504E-12
0.6, 0, 0, -2.36914E-05, 3.34524E-09, 2.36881E-05, -1.39361E-11
0.65, 0, 0, -2.82002E-05, 4.34731E-09, 2.81959E-05, -2.96464E-11
0.7, 0, 0, -3.27441E-05, 5.54953E-09, 3.27386E-05, -6.28739E-11
0.75, 0, 0, -3.72935E-05, 6.99327E-09, 3.72866E-05, -1.32799E-10
0.8, 0, 0, -4.1826E-05, 8.74231E-09, 4.18176E-05, -2.78788E-10
0.85, 0, 0, -4.63248E-05, 1.09023E-08, 4.63145E-05, -5.79667E-10
0.9, 0, 0, -5.0777E-05, 1.36544E-08, 5.07645E-05, -1.18699E-09
0.95, 0, 0, -5.51729E-05, 1.73043E-08, 5.5158E-05, -2.37428E-09
1, 0, 0, -5.95054E-05, 2.23382E-08, 5.94877E-05, -4.59205E-09
1.05, 0, 0, -6.37695E-05, 2.94546E-08, 6.37485E-05, -8.49991E-09
1.1, 0, 0, -6.79616E-05, 3.9548E-08, 6.7937E-05, -1.49496E-08
0, 0, 0.05, 3.39988E-09, 6.0078E-12, -3.4058E-09, -7.89577E-14
0.05, 0, 0.05, -5.90918E-12, 1.19071E-11, -5.91898E-12, -7.89403E-14
0.1, 0, 0.05, -1.31252E-08, 1.24836E-11, 1.31128E-08, -7.97279E-14
0.15, 0, 0.05, -6.1655E-08, 1.09969E-11, 6.16441E-08, -8.2611E-14
0.2, 0, 0.05, -2.26258E-07, 3.15905E-11, 2.26226E-07, -9.18363E-14
0.25, 0, 0.05, -7.1404E-07, 1.0514E-10, 7.13935E-07, -1.17257E-13
0.3, 0, 0.05, -1.86921E-06, 2.61987E-10, 1.86895E-06, -1.80061E-13
0.35, 0, 0.05, -3.94891E-06, 5.07321E-10, 3.9484E-06, -3.25871E-13
0.4, 0, 0.05, -6.90359E-06, 8.43956E-10, 6.90275E-06, -6.52485E-13
0.45, 0, 0.05, -1.04924E-05, 1.28163E-09, 1.04912E-05, -1.3681E-12
0.5, 0, 0.05, -1.44825E-05, 1.83347E-09, 1.44806E-05, -2.9142E-12
0.55, 0, 0.05, -1.8715E-05, 2.51493E-09, 1.87124E-05, -6.22645E-12
0.6, 0, 0.05, -2.30918E-05, 3.34422E-09, 2.30885E-05, -1.32859E-11
0.65, 0, 0.05, -2.7551E-05, 4.34361E-09, 2.75467E-05, -2.82767E-11
0.7, 0, 0.05, -3.20505E-05, 5.54193E-09, 3.2045E-05, -5.99942E-11
0.75, 0, 0.05, -3.65598E-05, 6.97964E-09, 3.65529E-05, -1.26773E-10
0.8, 0, 0.05, -4.10561E-05, 8.71877E-09, 4.10477E-05, -2.66294E-10
0.85, 0, 0.05, -4.55222E-05, 1.08617E-08, 4.55119E-05, -5.54152E-10
0.9, 0, 0.05, -4.99448E-05, 1.35837E-08, 4.99323E-05, -1.13616E-09
0.95, 0, 0.05, -5.43138E-05, 1.71814E-08, 5.42989E-05, -2.27675E-09
1, 0, 0.05, -5.86219E-05, 2.21287E-08, 5.86042E-05, -4.41433E-09
1.05, 0, 0.05, -6.28637E-05, 2.91114E-08, 6.28428E-05, -8.19588E-09
1.1, 0, 0.05, -6.70356E-05, 3.9014E-08, 6.7011E-05, -1.4463E-08
0, 0, 0.1, 1.73153E-08, 6.58184E-12, -1.73218E-08, -7.98181E-14
0.05, 0, 0.1, 1.31128E-08, 1.24836E-11, -1.31252E-08, -7.97279E-14
0.1, 0, 0.1, -6.30569E-12, 1.27008E-11, -6.31549E-12, -7.96377E-14
0.15, 0, 0.1, -4.65378E-08, 1.12321E-11, 4.65267E-08, -8.23022E-14
0.2, 0, 0.1, -1.98972E-07, 3.1844E-11, 1.9894E-07, -9.08613E-14
0.25, 0, 0.1, -6.47746E-07, 1.05384E-10, 6.47641E-07, -1.14665E-13
0.3, 0, 0.1, -1.72843E-06, 2.62071E-10, 1.72817E-06, -1.73788E-13
0.35, 0, 0.1, -3.71004E-06, 5.07038E-10, 3.70953E-06, -3.1165E-13
0.4, 0, 0.1, -6.56511E-06, 8.43161E-10, 6.56426E-06, -6.21527E-13
0.45, 0, 0.1, -1.00646E-05, 1.28021E-09, 1.00633E-05, -1.3021E-12
0.5, 0, 0.1, -1.39773E-05, 1.83125E-09, 1.39755E-05, -2.7747E-12
0.55, 0, 0.1, -1.81428E-05, 2.51164E-09, 1.81403E-05, -5.93226E-12
0.6, 0, 0.1, -2.24612E-05, 3.33941E-09, 2.24579E-05, -1.26656E-11
