0, 0, 0, -6.50266E-21, 8.7917E-20, -6.50266E-21, -7.49117E-20
0.05, 0, 0, -2.69535E-09, 5.10764E-12, 2.69023E-09, 8.02146E-15
0.1, 0, 0, -3.47378E-09, 1.39085E-11, 3.45986E-09, 9.60963E-15
0.15, 0, 0, -3.99514E-09, 2.7367E-11, 3.96776E-09, 9.92509E-15
0.2, 0, 0, -4.52327E-09, 4.66315E-11, 4.47663E-09, 9.98899E-15
0.25, 0, 0, -5.09847E-09, 7.30653E-11, 5.0254E-09, 1.00034E-14
0.3, 0, 0, -5.73642E-09, 1.08281E-10, 5.62813E-09, 1.00085E-14
0.35, 0, 0, -6.44847E-09, 1.54182E-10, 6.29427E-09, 1.0012E-14
0.4, 0, 0, -7.24539E-09, 2.13007E-10, 7.03237E-09, 1.00158E-14
0.45, 0, 0, -8.13847E-09, 2.87382E-10, 7.85108E-09, 1.00202E-14
0.5, 0, 0, -9.14E-09, 3.80382E-10, 8.7596E-09, 1.00254E-14
0.55, 0, 0, -1.02635E-08, 4.95603E-10, 9.76788E-09, 1.00315E-14
0.6, 0, 0, -1.1524E-08, 6.37234E-10, 1.08867E-08, 1.00387E-14
0.65, 0, 0, -1.29382E-08, 8.10153E-10, 1.21281E-08, 1.0047E-14
0.7, 0, 0, -1.45249E-08, 1.02003E-09, 1.35048E-08, 1.00567E-14
0.75, 0, 0, -1.63047E-08, 1.27344E-09, 1.50313E-08, 1.0068E-14
0.8, 0, 0, -1.8301E-08, 1.578E-09, 1.6723E-08, 1.00811E-14
0.85, 0, 0, -2.05397E-08, 1.94253E-09, 1.85971E-08, 1.00962E-14
0.9, 0, 0, -2.30497E-08, 2.37721E-09, 2.06724E-08, 1.01136E-14
0.95, 0, 0, -2.58632E-08, 2.89379E-09, 2.29694E-08, 1.02584E-14
1, 0, 0, -2.90163E-08, 3.50583E-09, 2.55104E-08, 1.20779E-14
1.05, 0, 0, -3.25492E-08, 4.22892E-09, 2.83202E-08, 1.37782E-13
1.1, 0, 0, -3.65127E-08, 5.08101E-09, 3.14255E-08, 6.25302E-12
0, 0, 0.05, 2.69023E-09, 5.10764E-12, -2.69534E-09, 5.43428E-17
0.05, 0, 0.05, -5.11567E-12, 1.02153E-11, -5.1077E-12, 8.07483E-15
0.1, 0, 0.05, -7.36801E-10, 1.90162E-11, 7.17775E-10, 9.66213E-15
0.15, 0, 0.05, -9.58942E-10, 3.24746E-11, 9.26458E-10, 9.97646E-15
0.2, 0, 0.05, -1.11719E-09, 5.17392E-11, 1.06544E-09, 1.0039E-14
0.25, 0, 0.05, -1.28353E-09, 7.8173E-11, 1.20535E-09, 1.00518E-14
0.3, 0, 0.05, -1.47017E-09, 1.13389E-10, 1.35677E-09, 1.00548E-14
0.35, 0, 0.05, -1.68292E-09, 1.5929E-10, 1.52362E-09, 1.0056E-14
0.4, 0, 0.05, -1.92673E-09, 2.18115E-10, 1.70861E-09, 1.00569E-14
0.45, 0, 0.05, -2.20674E-09, 2.92489E-10, 1.91424E-09, 1.0058E-14
0.5, 0, 0.05, -2.52858E-09, 3.8549E-10, 2.14308E-09, 1.00592E-14
0.55, 0, 0.05, -2.89859E-09, 5.0071E-10, 2.39787E-09, 1.00606E-14
0.6, 0, 0.05, -3.32397E-09, 6.42341E-10, 2.68162E-09, 1.00623E-14
0.65, 0, 0.05, -3.81286E-09, 8.1526E-10, 2.99759E-09, 1.00643E-14
0.7, 0, 0.05, -4.37458E-09, 1.02514E-09, 3.34943E-09, 1.00666E-14
0.75, 0, 0.05, -5.01967E-09, 1.27855E-09, 3.74112E-09, 1.00694E-14
0.8, 0, 0.05, -5.76018E-09, 1.58311E-09, 4.17707E-09, 1.00726E-14
0.85, 0, 0.05, -6.60979E-09, 1.94764E-09, 4.66215E-09, 1.00763E-14
0.9, 0, 0.05, -7.58406E-09, 2.38232E-09, 5.20173E-09, 1.00806E-14
0.95, 0, 0.05, -8.70066E-09, 2.8989E-09, 5.80175E-09, 1.00856E-14
1, 0, 0.05, -9.97969E-09, 3.51094E-09, 6.46874E-09, 1.0452E-14
1.05, 0, 0.05, -1.14441E-08, 4.23403E-09, 7.20992E-09, 1.2834E-13
1.1, 0, 0.05, -1.31256E-08, 5.08611E-09, 8.03324E-09, 6.20551E-12
0, 0, 0.1, 3.45986E-09, 1.39085E-11, -3.47377E-09, 6.6009E-17
0.05, 0, 0.1, 7.17767E-10, 1.90162E-11, -7.36792E-10, 8.08562E-15
0.1, 0, 0.1, -1.39181E-11, 2.78171E-11, -1.39086E-11, 9.67235E-15
0.15, 0, 0.1, -2.16884E-10, 4.12755E-11, 1.75598E-10, 9.98644E-15
0.2, 0, 0.1, -2.91231E-10, 6.054E-11, 2.30681E-10, 1.00487E-14
0.25, 0, 0.1, -3.54574E-10, 8.69739E-11, 2.6759E-10, 1.00611E-14
0.3, 0, 0.1, -4.27066E-10, 1.2219E-10, 3.04866E-10, 1.00636E-14
0.35, 0, 0.1, -5.13407E-10, 1.68091E-10, 3.45306E-10, 1.00643E-14
0.4, 0, 0.1, -6.16893E-10, 2.26915E-10, 3.89967E-10, 1.00645E-14
0.45, 0, 0.1, -7.40893E-10, 3.0129E-10, 4.39593E-10, 1.00648E-14
0.5, 0, 0.1, -8.89177E-10, 3.94291E-10, 4.94876E-10, 1.00651E-14
0.55, 0, 0.1, -1.06606E-09, 5.09511E-10, 5.56536E-10, 1.00654E-14
0.6, 0, 0.1, -1.2765E-09, 6.51142E-10, 6.25346E-10, 1.00658E-14
